"county","precinct","office","district","party","candidate","votes"
"Rensselaer","East Greenbush 1","President","","CON","Donald J. Trump","73"
"Rensselaer","East Greenbush 2","President","","CON","Donald J. Trump","70"
"Rensselaer","East Greenbush 3","President","","CON","Donald J. Trump","38"
"Rensselaer","East Greenbush 4","President","","CON","Donald J. Trump","21"
"Rensselaer","East Greenbush 5","President","","CON","Donald J. Trump","22"
"Rensselaer","East Greenbush 6","President","","CON","Donald J. Trump","71"
"Rensselaer","East Greenbush 7","President","","CON","Donald J. Trump","42"
"Rensselaer","East Greenbush 8","President","","CON","Donald J. Trump","51"
"Rensselaer","East Greenbush 9","President","","CON","Donald J. Trump","45"
"Rensselaer","East Greenbush 10","President","","CON","Donald J. Trump","45"
"Rensselaer","East Greenbush 11","President","","CON","Donald J. Trump","55"
"Rensselaer","East Greenbush 12","President","","CON","Donald J. Trump","30"
"Rensselaer","Grafton 1","President","","CON","Donald J. Trump","63"
"Rensselaer","Grafton 2","President","","CON","Donald J. Trump","70"
"Rensselaer","Hoosick 1","President","","CON","Donald J. Trump","23"
"Rensselaer","Hoosick 2","President","","CON","Donald J. Trump","39"
"Rensselaer","Hoosick 3","President","","CON","Donald J. Trump","33"
"Rensselaer","Hoosick 4","President","","CON","Donald J. Trump","28"
"Rensselaer","Hoosick 5","President","","CON","Donald J. Trump","23"
"Rensselaer","Hoosick 6","President","","CON","Donald J. Trump","26"
"Rensselaer","Hoosick 7","President","","CON","Donald J. Trump","40"
"Rensselaer","Nassau 1","President","","CON","Donald J. Trump","30"
"Rensselaer","Nassau 2","President","","CON","Donald J. Trump","85"
"Rensselaer","Nassau 3","President","","CON","Donald J. Trump","48"
"Rensselaer","Nassau 4","President","","CON","Donald J. Trump","28"
"Rensselaer","North Greenbush 1","President","","CON","Donald J. Trump","43"
"Rensselaer","North Greenbush 2","President","","CON","Donald J. Trump","53"
"Rensselaer","North Greenbush 3","President","","CON","Donald J. Trump","52"
"Rensselaer","North Greenbush 4","President","","CON","Donald J. Trump","90"
"Rensselaer","North Greenbush 5","President","","CON","Donald J. Trump","67"
"Rensselaer","North Greenbush 6","President","","CON","Donald J. Trump","57"
"Rensselaer","North Greenbush 7","President","","CON","Donald J. Trump","69"
"Rensselaer","North Greenbush 8","President","","CON","Donald J. Trump","82"
"Rensselaer","Petersburgh 1","President","","CON","Donald J. Trump","56"
"Rensselaer","Pittstown 1","President","","CON","Donald J. Trump","34"
"Rensselaer","Pittstown 2","President","","CON","Donald J. Trump","46"
"Rensselaer","Pittstown 3","President","","CON","Donald J. Trump","53"
"Rensselaer","Pittstown 4","President","","CON","Donald J. Trump","59"
"Rensselaer","Pittstown 5","President","","CON","Donald J. Trump","43"
"Rensselaer","Pittstown 6","President","","CON","Donald J. Trump","39"
"Rensselaer","Poestenkill 1","President","","CON","Donald J. Trump","23"
"Rensselaer","Poestenkill 2","President","","CON","Donald J. Trump","74"
"Rensselaer","Poestenkill 3","President","","CON","Donald J. Trump","20"
"Rensselaer","Poestenkill 4","President","","CON","Donald J. Trump","72"
"Rensselaer","Sand Lake 1","President","","CON","Donald J. Trump","132"
"Rensselaer","Sand Lake 2","President","","CON","Donald J. Trump","73"
"Rensselaer","Sand Lake 3","President","","CON","Donald J. Trump","92"
"Rensselaer","Sand Lake 4","President","","CON","Donald J. Trump","36"
"Rensselaer","Sand Lake 5","President","","CON","Donald J. Trump","48"
"Rensselaer","Sand Lake 6","President","","CON","Donald J. Trump","29"
"Rensselaer","Schaghticoke 1","President","","CON","Donald J. Trump","107"
"Rensselaer","Schaghticoke 2","President","","CON","Donald J. Trump","28"
"Rensselaer","Schaghticoke 3","President","","CON","Donald J. Trump","67"
"Rensselaer","Schaghticoke 4","President","","CON","Donald J. Trump","25"
"Rensselaer","Schaghticoke 5","President","","CON","Donald J. Trump","35"
"Rensselaer","Schaghticoke 6","President","","CON","Donald J. Trump","59"
"Rensselaer","Schaghticoke 7","President","","CON","Donald J. Trump","76"
"Rensselaer","Schodack 1","President","","CON","Donald J. Trump","35"
"Rensselaer","Schodack 2","President","","CON","Donald J. Trump","24"
"Rensselaer","Schodack 3","President","","CON","Donald J. Trump","53"
"Rensselaer","Schodack 4","President","","CON","Donald J. Trump","52"
"Rensselaer","Schodack 5","President","","CON","Donald J. Trump","24"
"Rensselaer","Schodack 6","President","","CON","Donald J. Trump","62"
"Rensselaer","Schodack 7","President","","CON","Donald J. Trump","61"
"Rensselaer","Schodack 8","President","","CON","Donald J. Trump","71"
"Rensselaer","Schodack 9","President","","CON","Donald J. Trump","30"
"Rensselaer","Schodack 10","President","","CON","Donald J. Trump","23"
"Rensselaer","Schodack 11","President","","CON","Donald J. Trump","48"
"Rensselaer","Stephentown 1","President","","CON","Donald J. Trump","37"
"Rensselaer","Stephentown 2","President","","CON","Donald J. Trump","66"
"Rensselaer","Troy 1","President","","GRE","Jill Stein","3"
"Rensselaer","Troy 2","President","","GRE","Jill Stein","2"
"Rensselaer","Troy 3","President","","GRE","Jill Stein","10"
"Rensselaer","Troy 4","President","","GRE","Jill Stein","16"
"Rensselaer","Troy 5","President","","GRE","Jill Stein","11"
"Rensselaer","Troy 6","President","","GRE","Jill Stein","8"
"Rensselaer","Troy 7","President","","GRE","Jill Stein","16"
"Rensselaer","Troy 8","President","","GRE","Jill Stein","9"
"Rensselaer","Troy 9","President","","GRE","Jill Stein","8"
"Rensselaer","Troy 10","President","","GRE","Jill Stein","6"
"Rensselaer","Troy 11","President","","GRE","Jill Stein","32"
"Rensselaer","Troy 12","President","","GRE","Jill Stein","13"
"Rensselaer","Troy 13","President","","GRE","Jill Stein","12"
"Rensselaer","Troy 14","President","","GRE","Jill Stein","14"
"Rensselaer","Troy 15","President","","GRE","Jill Stein","18"
"Rensselaer","Troy 16","President","","GRE","Jill Stein","17"
"Rensselaer","Troy 17","President","","GRE","Jill Stein","21"
"Rensselaer","Troy 18","President","","GRE","Jill Stein","32"
"Rensselaer","Troy 19","President","","GRE","Jill Stein","31"
"Rensselaer","Troy 20","President","","GRE","Jill Stein","15"
"Rensselaer","Troy 21","President","","GRE","Jill Stein","7"
"Rensselaer","Troy 22","President","","GRE","Jill Stein","21"
"Rensselaer","Troy 23","President","","GRE","Jill Stein","6"
"Rensselaer","Troy 24","President","","GRE","Jill Stein","16"
"Rensselaer","Troy 25","President","","GRE","Jill Stein","12"
"Rensselaer","Troy 26","President","","GRE","Jill Stein","8"
"Rensselaer","Troy 27","President","","GRE","Jill Stein","6"
"Rensselaer","Troy 28","President","","GRE","Jill Stein","13"
"Rensselaer","Troy 29","President","","GRE","Jill Stein","11"
"Rensselaer","Troy 30","President","","GRE","Jill Stein","5"
"Rensselaer","Rensselaer 1","President","","GRE","Jill Stein","18"
"Rensselaer","Rensselaer 2","President","","GRE","Jill Stein","9"
"Rensselaer","Rensselaer 3","President","","GRE","Jill Stein","14"
"Rensselaer","Rensselaer 4","President","","GRE","Jill Stein","8"
"Rensselaer","Rensselaer 5","President","","GRE","Jill Stein","11"
"Rensselaer","Rensselaer 6","President","","GRE","Jill Stein","4"
"Rensselaer","Berlin 1","President","","GRE","Jill Stein","15"
"Rensselaer","Berlin 2","President","","GRE","Jill Stein","5"
"Rensselaer","Brunswick 1","President","","GRE","Jill Stein","24"
"Rensselaer","Brunswick 2","President","","GRE","Jill Stein","17"
"Rensselaer","Brunswick 3","President","","GRE","Jill Stein","13"
"Rensselaer","Brunswick 4","President","","GRE","Jill Stein","8"
"Rensselaer","Brunswick 5","President","","GRE","Jill Stein","18"
"Rensselaer","Brunswick 6","President","","GRE","Jill Stein","11"
"Rensselaer","Brunswick 7","President","","GRE","Jill Stein","0"
"Rensselaer","Brunswick 8","President","","GRE","Jill Stein","17"
"Rensselaer","Brunswick 9","President","","GRE","Jill Stein","13"
"Rensselaer","Brunswick 10","President","","GRE","Jill Stein","7"
"Rensselaer","East Greenbush 1","President","","GRE","Jill Stein","22"
"Rensselaer","East Greenbush 2","President","","GRE","Jill Stein","5"
"Rensselaer","East Greenbush 3","President","","GRE","Jill Stein","15"
"Rensselaer","East Greenbush 4","President","","GRE","Jill Stein","4"
"Rensselaer","East Greenbush 5","President","","GRE","Jill Stein","5"
"Rensselaer","East Greenbush 6","President","","GRE","Jill Stein","15"
"Rensselaer","East Greenbush 7","President","","GRE","Jill Stein","8"
"Rensselaer","East Greenbush 8","President","","GRE","Jill Stein","9"
