"county","precinct","office","district","party","candidate","votes"
"Fulton","Ephratah","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Johnstown 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Johnstown 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Johnstown 3","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Johnstown 4","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Mayfield 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",0
"Fulton","Mayfield 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Mayfield 3","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Mayfield 4","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",0
"Fulton","Northampton 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",4
"Fulton","Northampton 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",0
"Fulton","Northampton 3","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Oppenheim 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Perth 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Perth 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",2
"Fulton","Stratford 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",0
"Fulton","Gloversville Ward 1 Dist 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Gloversville Ward 1 Dist 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",3
"Fulton","Gloversville Ward 2 Dist 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Gloversville Ward 2 Dist 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Gloversville Ward 3 Dist 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Gloversville Ward 3 Dist 2","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
"Fulton","Gloversville Ward 4 Dist 1","U.S. House of Representatives","21st Congressional","REF","Elise Stefanik",1
